#PK grade
0 0.0
0.175 1.5
0.525 0.0
1.025 2.0
1.125 0.0
1.275 1.0
1.325 0.0
1.475 -2.5
1.825 0.0
1.975 0.1
2.825 0.0
2.975 -0.2
3.675 0.0
3.825 0.5
4.225 0.0
4.375 2.0
4.725 0.0
4.875 -2.5
5.225 0.0
5.375 -2.0
5.875 0.0
6.025 -1.0
6.325 0.0
6.425 -0.1
7.125 0.0
7.225 0.3
7.525 0.0
7.675 0.65
7.975 0.0
8.125 0.2
8.375 0.0
8.475 0.4
8.875 0.0
9.025 -1.0
9.225 0.0
9.375 0.2
9.875 0.0
10.125 0.5
10.625 0.0
10.675 -0.8
11.175 0.0
11.975 0.35
12.675 0.0
12.975 2.5
13.375 0.0
13.575 -0.1
13.875 0.0
14.725 -2.0
14.825 0.0
15.075 0.4
15.195 -2.0
15.395 0.0
15.925 -2.0
16.025 0.0
16.175 0.7
16.775 0.0
#16.975 0.0
