service,t,x,v,a,P
E500,0,0.210000027619,0.0198855,1.10475,1066.3612922
E501,0,3.68700002762,0.0198855,1.10475,1066.3612922
E502,0,5.34700002762,0.0198855,1.10475,1066.3612922
E503,0,7.50300002762,0.0198855,1.10475,1066.3612922
E504,0,9.91500002762,0.0198855,1.10475,1066.3612922
E505,0,1.74100002762,0.0198855,1.10475,1066.3612922
E506,0,3.90000002762,0.0198855,1.10475,1066.3612922
E507,0,16.6750000276,0.0198855,1.10475,1066.3612922
E500,1,0.210560545434,3.99495487082,1.10307109947,214229.728967
E501,1,3.68756054543,3.99495487082,1.10307109947,214229.728967
E502,1,5.34756054543,3.99495487082,1.10307109947,214229.728967
E503,1,7.50356054543,3.99495487082,1.10307109947,214229.728967
E504,1,9.91556054543,3.99495487082,1.10307109947,214229.728967
E505,1,1.74156054543,3.99495487082,1.10307109947,214229.728967
E506,1,3.90056054543,3.99495487082,1.10307109947,214229.728967
E507,1,16.6755605454,3.99495487082,1.10307109947,214229.728967
E500,2,0.212223839267,7.95793051138,1.09805471236,426744.580607
E501,2,3.68922383927,7.95793051138,1.09805471236,426744.580607
E502,2,5.34922383927,7.95793051138,1.09805471236,426744.580607
E503,2,7.50522383927,7.95793051138,1.09805471236,426744.580607
E504,2,9.91722383927,7.95793051138,1.09805471236,426744.580607
E505,2,1.74322383927,7.95793051138,1.09805471236,426744.580607
E506,2,3.90222383927,7.95793051138,1.09805471236,426744.580607
E507,2,16.6772238393,7.95793051138,1.09805471236,426744.580607
E500,3,0.214984881226,11.8968950264,1.08976133756,637971.855797
E501,3,3.69198488123,11.8968950264,1.08976133756,637971.855797
E502,3,5.35198488123,11.8968950264,1.08976133756,637971.855797
E503,3,7.50798488123,11.8968950264,1.08976133756,637971.855797
E504,3,9.91998488123,11.8968950264,1.08976133756,637971.855797
E505,3,1.74598488123,11.8968950264,1.08976133756,637971.855797
E506,3,3.90498488123,11.8968950264,1.08976133756,637971.855797
E507,3,16.6799848812,11.8968950264,1.08976133756,637971.855797
E500,4,0.218806333754,14.8050770426,-0.268554180588,1.10443481492
E501,4,3.69583537006,15.8002193759,1.07829014078,847287.956555
E502,4,5.35583537006,15.8002193759,1.07829014078,847287.956555
E503,4,7.51183537006,15.8002193759,1.07829014078,847287.956555
E504,4,9.92383537006,15.8002193759,1.07829014078,847287.956555
E505,4,1.74983537006,15.8002193759,1.07829014078,847287.956555
E506,4,3.90883537006,15.8002193759,1.07829014078,847287.956555
